"instance","base_topic","serial_port","channel","pan_id","ieee_addr","friendly_name","device_type","manufacturer","model","nwk_addr","last_seen","online_guess"
"zigbee2mqtt1","tasmota_g1","tcp://192.168.2.161:6688","11","25253","0x1cc089fffece2548","","Coordinator",,,"0","9.01.2026 14:33:46","False"
"zigbee2mqtt1","tasmota_g1","tcp://192.168.2.161:6688","11","25253","0x00158d008b85c78d","C1 - W5 brama","EndDevice","LUMI","lumi.sensor_magnet.aq2","28554","5.02.2026 03:48:52","True"
"zigbee2mqtt1","tasmota_g1","tcp://192.168.2.161:6688","11","25253","0x00158d008b7cd65c","T3 - W5 Laser","EndDevice","LUMI","lumi.weather","5554","5.02.2026 03:28:42","True"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0x1cc089fffecdeb58","","Coordinator",,,"0","10.01.2026 16:46:59","False"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0x00158d008b85dfb5","C4 Dostawka","EndDevice","LUMI","lumi.sensor_magnet.aq2","38242","5.02.2026 03:35:37","True"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0x00158d008b5a294c","M5 Bartek","EndDevice","LUMI","lumi.sensor_motion.aq2","17671","5.02.2026 03:46:52","True"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0x54ef441000d99efe","S8 Bartek","EndDevice","LUMI","lumi.sensor_smoke.acn03","8891","5.02.2026 03:22:29","True"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0x00158d008b7cd5ec","T5 Bartek","EndDevice","LUMI","lumi.weather","26642","5.02.2026 03:31:36","True"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0x00158d008b615893","T8 Dostawka","EndDevice","LUMI","lumi.weather","47022","5.02.2026 03:33:21","True"
"zigbee2mqtt10","tasmota_g10","tcp://192.168.2.170:8888","17","13434","0xa4c1381a5d951b5b","TO2 - Suszarnia","EndDevice","_TZ3000_fllyghyj","TS0201","62287","5.02.2026 03:52:17","True"
"zigbee2mqtt11","tasmota_g11","tcp://192.168.2.171:8888","22","57741","0x1cc089fffece0e60","","Coordinator",,,"0","14.01.2026 15:26:05","False"
